run_id	timestamp	commit	parent_commit	experiment_name	changed_files	fixture_validation_ok	benchmark_set	cat_response_score	cat_quality_score	cat_latency_score	baseline_score	delta_score	cases_total	repeat_count	evaluations_total	cat_approved_count	cat_approval_rate	retried_count	retry_rate	primary_rejected_count	primary_rejected_rate	retry_rescued_accept_count	retry_wasted_safe_reject_count	retry_failed_count	clean_primary_accept_count	expected_accept_count	expected_reject_count	accepted_count	rejected_count	clean_accept_count	safe_reject_count	false_reject_count	unsafe_accept_count	weak_accept_count	unclear_fail_count	category_min_approval_rate	low_category_count	low_categories	accepted_prompt_chatter_count	accepted_japanese_leakage_count	accepted_prompt_fragment_count	accepted_schema_fragment_count	source_text_mutation_count	accepted_forbidden_pattern_count	accepted_forbidden_meaning_term_count	accepted_required_meaning_missing_count	accepted_overlong_fragment_count	accepted_repetitive_count	accepted_explanatory_output_count	accepted_fragment_shape_warning_count	empty_output_count	verbose_output_count	model_error_count	mean_latency_ms	hard_failure	kept	notes
private_blind_smoke_20260527	2026-05-27T02:23:20.058296+00:00	3e27e4939bed1f9b694a2fe678c853932bb23447	1465fb0b2c2ee77dcf66fcac16a4a6644f4eef55	private_blind_smoke_20260527	.gitignore;.testing/tests/test_cat_response_autoresearch.py;.testing/tests/test_cat_translator.py;cat_response_autoresearch/PROGRAM.md;cat_response_autoresearch/README.md;cat_response_autoresearch/SCORING.md;cat_response_autoresearch/benchmarks/real_mined/cases.jsonl;cat_response_autoresearch/benchmarks/real_mined/fake_outputs.jsonl;cat_response_autoresearch/benchmarks/real_mined/references.jsonl;cat_response_autoresearch/scripts/eval_cat_responses.py;cat_response_autoresearch/scripts/serve_dashboard.py;manga_local_translator/hf_translators.py;manga_local_translator/translation_rules.py;cat_response_autoresearch/scripts/run_private_blind_benchmark.ps1;manga_local_translator/translation_phrasebook.py	True	real_mined	15480.74063	3750.0	11730.74063	0.0	3750.0	16	1	16	10.0	0.625	4.0	0.25	5.0	0.3125	3.0	0.0	1.0	6.0	15.0	1.0	15.0	1.0	9.0	1.0	0.0	6.0	0.0	0.0	0.0	4	ellipsis_fragment,honorific_name,normal_dialogue,semantic_trap	0.0	0.0	0.0	0.0	0.0	0.0	3.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1173.074063	True	False	profile=production hash=af5187890d7c
private_blind_agent_001	2026-05-27T02:26:46.448454+00:00	3e27e4939bed1f9b694a2fe678c853932bb23447	1465fb0b2c2ee77dcf66fcac16a4a6644f4eef55	private_blind_agent_001	.gitignore;.testing/tests/test_cat_response_autoresearch.py;.testing/tests/test_cat_translator.py;cat_response_autoresearch/PROGRAM.md;cat_response_autoresearch/README.md;cat_response_autoresearch/SCORING.md;cat_response_autoresearch/benchmarks/real_mined/cases.jsonl;cat_response_autoresearch/benchmarks/real_mined/fake_outputs.jsonl;cat_response_autoresearch/benchmarks/real_mined/references.jsonl;cat_response_autoresearch/results/results.tsv;cat_response_autoresearch/scripts/eval_cat_responses.py;cat_response_autoresearch/scripts/serve_dashboard.py;manga_local_translator/hf_translators.py;manga_local_translator/translation_rules.py;cat_response_autoresearch/scripts/run_private_blind_benchmark.ps1;manga_local_translator/translation_phrasebook.py	True	real_mined	11784.501562	3750.0	8034.501562	0.0	3750.0	16	4	64	10.0	0.625	4.0	0.25	5.0	0.3125	3.0	0.0	1.0	6.0	15.0	1.0	15.0	1.0	9.0	1.0	0.0	6.0	0.0	0.0	0.0	5	ellipsis_fragment,honorific_name,name_or_term,normal_dialogue,semantic_trap	0.0	0.0	0.0	0.0	0.0	0.0	3.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	803.450156	True	False	profile=production hash=af5187890d7c
private_blind_agent_001	2026-05-27T02:34:14.419094+00:00	3e27e4939bed1f9b694a2fe678c853932bb23447	1465fb0b2c2ee77dcf66fcac16a4a6644f4eef55	private_blind_agent_001	.gitignore;.testing/tests/test_cat_response_autoresearch.py;.testing/tests/test_cat_translator.py;cat_response_autoresearch/PROGRAM.md;cat_response_autoresearch/README.md;cat_response_autoresearch/SCORING.md;cat_response_autoresearch/benchmarks/real_mined/cases.jsonl;cat_response_autoresearch/benchmarks/real_mined/fake_outputs.jsonl;cat_response_autoresearch/benchmarks/real_mined/references.jsonl;cat_response_autoresearch/results/results.tsv;cat_response_autoresearch/scripts/eval_cat_responses.py;cat_response_autoresearch/scripts/serve_dashboard.py;manga_local_translator/hf_translators.py;manga_local_translator/translation_rules.py;cat_response_autoresearch/scripts/run_private_blind_benchmark.ps1;manga_local_translator/translation_phrasebook.py	True	real_mined	11741.291875	2468.75	9272.541875	0.0	2468.75	16	4	64	11.0	0.6875	4.0	0.25	5.0	0.3125	3.0	0.0	1.0	7.0	15.0	1.0	15.0	1.0	10.0	1.0	0.0	5.0	0.0	0.0	0.0	5	ellipsis_fragment,honorific_name,name_or_term,normal_dialogue,semantic_trap	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	927.254188	True	False	profile=production hash=af5187890d7c
private_blind_agent_001	2026-05-27T02:36:07.535359+00:00	3e27e4939bed1f9b694a2fe678c853932bb23447	1465fb0b2c2ee77dcf66fcac16a4a6644f4eef55	private_blind_agent_001	.gitignore;.testing/tests/test_cat_response_autoresearch.py;.testing/tests/test_cat_translator.py;cat_response_autoresearch/PROGRAM.md;cat_response_autoresearch/README.md;cat_response_autoresearch/SCORING.md;cat_response_autoresearch/benchmarks/real_mined/cases.jsonl;cat_response_autoresearch/benchmarks/real_mined/fake_outputs.jsonl;cat_response_autoresearch/benchmarks/real_mined/references.jsonl;cat_response_autoresearch/results/results.tsv;cat_response_autoresearch/scripts/eval_cat_responses.py;cat_response_autoresearch/scripts/serve_dashboard.py;manga_local_translator/hf_translators.py;manga_local_translator/translation_rules.py;cat_response_autoresearch/scripts/run_private_blind_benchmark.ps1;manga_local_translator/translation_phrasebook.py	True	real_mined	11712.11922	3687.5	8024.61922	0.0	3687.5	16	4	64	11.0	0.6875	4.0	0.25	5.0	0.3125	3.0	0.0	1.0	7.0	15.0	1.0	15.0	1.0	10.0	1.0	0.0	5.0	0.0	0.0	0.0	5	ellipsis_fragment,honorific_name,name_or_term,normal_dialogue,semantic_trap	0.0	0.0	0.0	0.0	0.0	1.0	2.0	5.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	802.461922	True	False	profile=production hash=af5187890d7c
private_blind_agent_001	2026-05-27T02:37:54.890319+00:00	3e27e4939bed1f9b694a2fe678c853932bb23447	1465fb0b2c2ee77dcf66fcac16a4a6644f4eef55	private_blind_agent_001	.gitignore;.testing/tests/test_cat_response_autoresearch.py;.testing/tests/test_cat_translator.py;cat_response_autoresearch/PROGRAM.md;cat_response_autoresearch/README.md;cat_response_autoresearch/SCORING.md;cat_response_autoresearch/benchmarks/real_mined/cases.jsonl;cat_response_autoresearch/benchmarks/real_mined/fake_outputs.jsonl;cat_response_autoresearch/benchmarks/real_mined/references.jsonl;cat_response_autoresearch/results/results.tsv;cat_response_autoresearch/scripts/eval_cat_responses.py;cat_response_autoresearch/scripts/serve_dashboard.py;manga_local_translator/hf_translators.py;manga_local_translator/translation_rules.py;cat_response_autoresearch/scripts/run_private_blind_benchmark.ps1;manga_local_translator/translation_phrasebook.py	True	real_mined	10877.00984	2468.75	8408.25984	0.0	2468.75	16	4	64	11.0	0.6875	4.0	0.25	5.0	0.3125	3.0	0.0	1.0	7.0	15.0	1.0	15.0	1.0	10.0	1.0	0.0	5.0	0.0	0.0	0.0	5	ellipsis_fragment,honorific_name,name_or_term,normal_dialogue,semantic_trap	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	840.825984	True	False	profile=production hash=af5187890d7c
private_blind_agent_002	2026-05-27T02:47:46.118011+00:00	58651ca5386b3f2ba2d7d13101ef072d81affb77	3e27e4939bed1f9b694a2fe678c853932bb23447	private_blind_agent_002	.gitignore;.testing/tests/test_cat_response_autoresearch.py;.testing/tests/test_cat_translator.py;cat_response_autoresearch/PROGRAM.md;cat_response_autoresearch/README.md;cat_response_autoresearch/SCORING.md;cat_response_autoresearch/benchmarks/real_mined/cases.jsonl;cat_response_autoresearch/benchmarks/real_mined/fake_outputs.jsonl;cat_response_autoresearch/benchmarks/real_mined/references.jsonl;cat_response_autoresearch/results/results.tsv;cat_response_autoresearch/scripts/eval_cat_responses.py;cat_response_autoresearch/scripts/serve_dashboard.py;manga_local_translator/translation_rules.py;cat_response_autoresearch/scripts/run_private_blind_benchmark.ps1	True	real_mined	11964.22	2468.75	9495.47	0.0	2468.75	16	4	64	11.0	0.6875	4.0	0.25	5.0	0.3125	3.0	0.0	1.0	7.0	15.0	1.0	15.0	1.0	10.0	1.0	0.0	5.0	0.0	0.0	0.0	5	ellipsis_fragment,honorific_name,name_or_term,normal_dialogue,semantic_trap	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	949.547	True	False	profile=production hash=af5187890d7c
private_blind_agent_003	2026-05-27T02:53:31.244572+00:00	58651ca5386b3f2ba2d7d13101ef072d81affb77	3e27e4939bed1f9b694a2fe678c853932bb23447	private_blind_agent_003	.gitignore;.testing/tests/test_cat_response_autoresearch.py;.testing/tests/test_cat_translator.py;cat_response_autoresearch/PROGRAM.md;cat_response_autoresearch/README.md;cat_response_autoresearch/SCORING.md;cat_response_autoresearch/benchmarks/real_mined/cases.jsonl;cat_response_autoresearch/benchmarks/real_mined/fake_outputs.jsonl;cat_response_autoresearch/benchmarks/real_mined/references.jsonl;cat_response_autoresearch/results/results.tsv;cat_response_autoresearch/scripts/eval_cat_responses.py;cat_response_autoresearch/scripts/serve_dashboard.py;manga_local_translator/hf_translators.py;cat_response_autoresearch/scripts/run_private_blind_benchmark.ps1	True	real_mined	11518.845938	2468.75	9050.095938	0.0	2468.75	16	4	64	11.0	0.6875	4.0	0.25	5.0	0.3125	3.0	0.0	1.0	7.0	15.0	1.0	15.0	1.0	10.0	1.0	0.0	5.0	0.0	0.0	0.0	5	ellipsis_fragment,honorific_name,name_or_term,normal_dialogue,semantic_trap	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	905.009594	True	False	profile=production hash=af5187890d7c
private_blind_agent_004	2026-05-27T02:55:51.707621+00:00	58651ca5386b3f2ba2d7d13101ef072d81affb77	3e27e4939bed1f9b694a2fe678c853932bb23447	private_blind_agent_004	.gitignore;.testing/tests/test_cat_response_autoresearch.py;.testing/tests/test_cat_translator.py;cat_response_autoresearch/PROGRAM.md;cat_response_autoresearch/README.md;cat_response_autoresearch/SCORING.md;cat_response_autoresearch/benchmarks/real_mined/cases.jsonl;cat_response_autoresearch/benchmarks/real_mined/fake_outputs.jsonl;cat_response_autoresearch/benchmarks/real_mined/references.jsonl;cat_response_autoresearch/results/results.tsv;cat_response_autoresearch/scripts/eval_cat_responses.py;cat_response_autoresearch/scripts/serve_dashboard.py;manga_local_translator/hf_translators.py;cat_response_autoresearch/scripts/run_private_blind_benchmark.ps1	True	real_mined	10932.730935	2468.75	8463.980935	0.0	2468.75	16	4	64	11.0	0.6875	4.0	0.25	5.0	0.3125	3.0	0.0	1.0	7.0	15.0	1.0	15.0	1.0	10.0	1.0	0.0	5.0	0.0	0.0	0.0	5	ellipsis_fragment,honorific_name,name_or_term,normal_dialogue,semantic_trap	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	846.398093	True	False	profile=production hash=af5187890d7c
private_blind_agent_005	2026-05-27T02:57:23.908223+00:00	58651ca5386b3f2ba2d7d13101ef072d81affb77	3e27e4939bed1f9b694a2fe678c853932bb23447	private_blind_agent_005	.gitignore;.testing/tests/test_cat_response_autoresearch.py;.testing/tests/test_cat_translator.py;cat_response_autoresearch/PROGRAM.md;cat_response_autoresearch/README.md;cat_response_autoresearch/SCORING.md;cat_response_autoresearch/benchmarks/real_mined/cases.jsonl;cat_response_autoresearch/benchmarks/real_mined/fake_outputs.jsonl;cat_response_autoresearch/benchmarks/real_mined/references.jsonl;cat_response_autoresearch/results/results.tsv;cat_response_autoresearch/scripts/eval_cat_responses.py;cat_response_autoresearch/scripts/serve_dashboard.py;manga_local_translator/hf_translators.py;cat_response_autoresearch/scripts/run_private_blind_benchmark.ps1	True	real_mined	10826.35578	2468.75	8357.60578	0.0	2468.75	16	4	64	11.0	0.6875	4.0	0.25	5.0	0.3125	3.0	0.0	1.0	7.0	15.0	1.0	15.0	1.0	10.0	1.0	0.0	5.0	0.0	0.0	0.0	5	ellipsis_fragment,honorific_name,name_or_term,normal_dialogue,semantic_trap	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	835.760578	True	False	profile=production hash=af5187890d7c
private_blind_agent_006	2026-05-27T02:59:20.814617+00:00	58651ca5386b3f2ba2d7d13101ef072d81affb77	3e27e4939bed1f9b694a2fe678c853932bb23447	private_blind_agent_006	.gitignore;.testing/tests/test_cat_response_autoresearch.py;.testing/tests/test_cat_translator.py;cat_response_autoresearch/PROGRAM.md;cat_response_autoresearch/README.md;cat_response_autoresearch/SCORING.md;cat_response_autoresearch/benchmarks/real_mined/cases.jsonl;cat_response_autoresearch/benchmarks/real_mined/fake_outputs.jsonl;cat_response_autoresearch/benchmarks/real_mined/references.jsonl;cat_response_autoresearch/results/results.tsv;cat_response_autoresearch/scripts/eval_cat_responses.py;cat_response_autoresearch/scripts/serve_dashboard.py;manga_local_translator/hf_translators.py;cat_response_autoresearch/scripts/run_private_blind_benchmark.ps1	True	real_mined	10847.195467	2468.75	8378.445467	0.0	2468.75	16	4	64	11.0	0.6875	4.0	0.25	5.0	0.3125	3.0	0.0	1.0	7.0	15.0	1.0	15.0	1.0	10.0	1.0	0.0	5.0	0.0	0.0	0.0	5	ellipsis_fragment,honorific_name,name_or_term,normal_dialogue,semantic_trap	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	837.844547	True	False	profile=production hash=af5187890d7c
